Timestamp,AnnRealizedVol,StratScalar
01/12/2017 02:30:00 PM,0.690026,0.063942
01/12/2017 03:00:00 PM,0.690026,0.063942
01/12/2017 03:30:00 PM,0.690026,0.063942
01/12/2017 04:00:00 PM,0.690026,0.063942
01/12/2017 04:30:00 PM,0.690026,0.063942
01/12/2017 05:00:00 PM,0.690026,0.063942
01/12/2017 06:30:00 PM,0.690026,0.063942
01/12/2017 07:00:00 PM,0.690026,0.063942
01/12/2017 07:30:00 PM,0.690026,0.063942
01/12/2017 08:00:00 PM,0.690026,0.063942
01/12/2017 08:30:00 PM,0.690026,0.063942
01/12/2017 09:00:00 PM,0.669008,0.063308
01/12/2017 09:30:00 PM,0.648628,0.062703
01/12/2017 10:00:00 PM,0.628868,0.062128
01/12/2017 10:30:00 PM,0.609711,0.061584
01/12/2017 11:00:00 PM,0.591136,0.061072
01/12/2017 11:30:00 PM,0.573128,0.060592
01/13/2017 12:00:00 AM,0.555669,0.060146
01/13/2017 12:30:00 AM,0.538742,0.059734
01/13/2017 01:00:00 AM,0.522330,0.059358
01/13/2017 01:30:00 AM,0.506418,0.059019
01/13/2017 02:00:00 AM,0.490991,0.058717
01/13/2017 02:30:00 AM,0.476033,0.058455
01/13/2017 03:00:00 AM,0.461535,0.058231
01/13/2017 03:30:00 AM,0.447475,0.058050
01/13/2017 04:00:00 AM,0.433844,0.057911
01/13/2017 04:30:00 AM,0.420630,0.057815
01/13/2017 05:00:00 AM,0.407817,0.057766
01/13/2017 05:30:00 AM,0.395404,0.057762
01/13/2017 06:00:00 AM,0.383359,0.057809
01/13/2017 06:30:00 AM,0.371693,0.057904
01/13/2017 07:00:00 AM,0.360373,0.058055
01/13/2017 07:30:00 AM,0.349394,0.058262
01/13/2017 08:00:00 AM,0.338751,0.058526
01/13/2017 08:30:00 AM,0.328432,0.058851
01/13/2017 09:00:00 AM,0.318438,0.059239
01/13/2017 09:30:00 AM,0.308742,0.059694
01/13/2017 10:00:00 AM,0.299342,0.060221
01/13/2017 10:30:00 AM,0.290407,0.060785
01/13/2017 11:00:00 AM,0.281563,0.061465
01/13/2017 11:30:00 AM,0.272989,0.062228
01/13/2017 12:00:00 PM,0.264681,0.063080
01/13/2017 12:30:00 PM,0.256624,0.064029
01/13/2017 01:00:00 PM,0.256624,0.064029
01/13/2017 01:30:00 PM,0.256624,0.064029
01/13/2017 02:00:00 PM,0.256624,0.064029
01/13/2017 02:30:00 PM,0.256624,0.064029
01/13/2017 03:00:00 PM,0.256624,0.064029
01/13/2017 03:30:00 PM,0.256624,0.064029
01/13/2017 04:00:00 PM,0.256624,0.064029
01/13/2017 04:30:00 PM,0.256624,0.064029
01/13/2017 05:00:00 PM,0.256624,0.064029
01/15/2017 06:30:00 PM,0.256624,0.064029
01/15/2017 07:00:00 PM,0.256624,0.064029
01/15/2017 07:30:00 PM,0.256624,0.064029
01/15/2017 08:00:00 PM,0.256624,0.064029
01/15/2017 08:30:00 PM,0.256624,0.064029
01/15/2017 09:00:00 PM,0.256624,0.064029
01/15/2017 09:30:00 PM,0.256624,0.064029
01/15/2017 10:00:00 PM,0.256624,0.064029
01/15/2017 10:30:00 PM,0.256624,0.064029
01/15/2017 11:00:00 PM,0.256624,0.064029
01/15/2017 11:30:00 PM,0.256624,0.064029
01/16/2017 12:00:00 AM,0.256624,0.064029
01/16/2017 12:30:00 AM,0.256624,0.064029
01/16/2017 01:00:00 AM,0.256624,0.064029
01/16/2017 01:30:00 AM,0.256624,0.064029
01/16/2017 02:00:00 AM,0.256624,0.064029
01/16/2017 02:30:00 AM,0.256624,0.064029
01/16/2017 03:00:00 AM,0.256624,0.064029
01/16/2017 03:30:00 AM,0.256624,0.064029
01/16/2017 04:00:00 AM,0.256624,0.064029
01/16/2017 04:30:00 AM,0.256624,0.064029
01/16/2017 05:00:00 AM,0.256624,0.064029
01/16/2017 05:30:00 AM,0.256624,0.064029
01/16/2017 06:00:00 AM,0.256624,0.064029
01/16/2017 06:30:00 AM,0.256624,0.064029
01/16/2017 07:00:00 AM,0.256624,0.064029
01/16/2017 07:30:00 AM,0.248807,0.065080
01/16/2017 08:00:00 AM,0.241228,0.066241
01/16/2017 08:30:00 AM,0.233883,0.067519
01/16/2017 09:00:00 AM,0.226761,0.068923
01/16/2017 09:30:00 AM,0.219853,0.070465
01/16/2017 10:00:00 AM,0.213158,0.072153
01/16/2017 10:30:00 AM,0.213158,0.072153
01/16/2017 11:00:00 AM,0.213158,0.072153
01/16/2017 11:30:00 AM,0.213158,0.072153
01/16/2017 12:00:00 PM,0.213158,0.072153
01/16/2017 12:30:00 PM,0.213158,0.072153
01/16/2017 01:00:00 PM,0.213158,0.072153
01/16/2017 06:30:00 PM,0.213158,0.072153
01/16/2017 07:00:00 PM,0.213158,0.072153
01/16/2017 07:30:00 PM,0.213158,0.072153
01/16/2017 08:00:00 PM,0.213158,0.072153
01/16/2017 08:30:00 PM,0.213158,0.072153
01/16/2017 09:00:00 PM,0.213158,0.072153
01/16/2017 09:30:00 PM,0.213158,0.072153
01/16/2017 10:00:00 PM,0.213158,0.072153
01/16/2017 10:30:00 PM,0.213158,0.072153
01/16/2017 11:00:00 PM,0.213158,0.072153
01/16/2017 11:30:00 PM,0.213158,0.072153
01/17/2017 12:00:00 AM,0.213158,0.072153
01/17/2017 12:30:00 AM,0.213158,0.072153
01/17/2017 01:00:00 AM,0.213158,0.072153
01/17/2017 01:30:00 AM,0.213158,0.072153
01/17/2017 02:00:00 AM,0.213158,0.072153
01/17/2017 02:30:00 AM,0.213158,0.072153
01/17/2017 03:00:00 AM,0.213158,0.072153
01/17/2017 03:30:00 AM,0.213158,0.072153
01/17/2017 04:00:00 AM,0.213158,0.072153
01/17/2017 04:30:00 AM,0.213158,0.072153
01/17/2017 05:00:00 AM,0.213158,0.072153
01/17/2017 05:30:00 AM,0.213158,0.072153
01/17/2017 06:00:00 AM,0.213158,0.072153
01/17/2017 06:30:00 AM,0.213158,0.072153
01/17/2017 07:00:00 AM,0.213158,0.072153
01/17/2017 07:30:00 AM,0.213158,0.072153
01/17/2017 08:00:00 AM,0.213158,0.072153
01/17/2017 08:30:00 AM,0.213158,0.072153
01/17/2017 09:00:00 AM,0.213158,0.072153
01/17/2017 09:30:00 AM,0.213158,0.072153
01/17/2017 10:00:00 AM,0.213158,0.072153
01/17/2017 10:30:00 AM,0.213158,0.072153
01/17/2017 11:00:00 AM,0.213158,0.072153
01/17/2017 11:30:00 AM,0.213158,0.072153
01/17/2017 12:00:00 PM,0.213158,0.072153
01/17/2017 12:30:00 PM,0.213158,0.072153
01/17/2017 01:00:00 PM,0.213158,0.072153
01/17/2017 01:30:00 PM,0.213158,0.072153
01/17/2017 02:00:00 PM,0.213158,0.072153
01/17/2017 02:30:00 PM,0.213158,0.072153
01/17/2017 03:00:00 PM,0.213158,0.072153
01/17/2017 03:30:00 PM,0.213158,0.072153
01/17/2017 04:00:00 PM,0.213158,0.072153
